STABBR,EMP,AP,EST,POP20,REGION_ID,REGIONS,2022REALGDP,STPOP,ZCTAGDP
MA,11930,950151,910,39515,22,ISONE,604357.7,7029917,3397.080579400866
MA,1,164,3,688,22,ISONE,604357.7,7029917,59.14694264526878
MA,3859,581417,140,5506,22,ISONE,604357.7,7029917,473.3474799489097
MA,9555,841312,700,23232,22,ISONE,604357.7,7029917,1997.2409469983784
MA,4448,225029,422,18832,22,ISONE,604357.7,7029917,1618.9756161274734
MA,22270,2588650,542,14566,22,ISONE,604357.7,7029917,1252.2301839694549
MA,203,20242,22,1555,22,ISONE,604357.7,7029917,133.68240670551302
MA,876,61936,124,5665,22,ISONE,604357.7,7029917,487.0166134962902
MA,556,41636,114,5237,22,ISONE,604357.7,7029917,450.2217131297567
MA,9921,851617,781,18545,22,ISONE,604357.7,7029917,1594.3024002274847
MA,292,11580,12,433,22,ISONE,604357.7,7029917,37.22474733343225
MA,5524,455824,391,14996,22,ISONE,604357.7,7029917,1289.197023122748
MA,1950,133864,151,6017,22,ISONE,604357.7,7029917,517.2778399659626
MA,13661,1945415,460,18758,22,ISONE,604357.7,7029917,1612.6138810173718
MA,8073,457215,569,20092,22,ISONE,604357.7,7029917,1727.2970517859599
MA,37092,3841254,1533,41793,22,ISONE,604357.7,7029917,3592.918857519939
MA,3330,409434,270,10730,22,ISONE,604357.7,7029917,922.4515909647297
MA,1193,57808,159,6228,22,ISONE,604357.7,7029917,535.4173819690901
MA,16988,1171974,929,30479,22,ISONE,604357.7,7029917,2620.2611408214348
MA,20840,1678209,1311,36659,22,ISONE,604357.7,7029917,3151.5519919082967
MA,703,83182,104,4401,22,ISONE,604357.7,7029917,378.35130026428476
MA,8497,845204,344,10017,22,ISONE,604357.7,7029917,861.1554134849671
MA,1814,112215,130,5651,22,ISONE,604357.7,7029917,485.8130419889737
MA,863,60786,142,7190,22,ISONE,604357.7,7029917,618.1199384004107
MA,5133,326669,533,18934,22,ISONE,604357.7,7029917,1627.7444942522081
MA,2979,216704,367,14132,22,ISONE,604357.7,7029917,1214.9194672426431
MA,42882,3769686,2140,40891,22,ISONE,604357.7,7029917,3515.374464691404
MA,42386,5064335,1487,26074,22,ISONE,604357.7,7029917,2241.5659629836314
MA,30459,3404984,1033,35621,22,ISONE,604357.7,7029917,3062.315761580115
MA,14101,1297850,706,30909,22,ISONE,604357.7,7029917,2657.227979974728
MA,21384,1671283,833,26881,22,ISONE,604357.7,7029917,2310.94326344109
MA,4892,255326,579,32689,22,ISONE,604357.7,7029917,2810.253500190685
MA,177,9543,48,3358,22,ISONE,604357.7,7029917,288.68522296920435
